Episode,Total_Reward
0,-89.21000000000001
1,-90.03999999999999
2,-79.44
3,-87.77
4,-83.76
5,-77.29
6,-82.33000000000001
7,-82.78999999999999
8,-75.88
9,-89.85
10,-76.33000000000001
11,-77.92
12,-73.77000000000001
13,-74.3
14,-74.14000000000001
15,-84.52
16,-72.24000000000001
17,-68.99000000000001
18,-82.48
19,-80.78
20,-62.410000000000025
21,-72.12
22,-60.33
23,-80.92999999999999
24,-70.98000000000002
25,-83.11999999999999
26,-88.21000000000001
27,-79.66999999999999
28,-69.65
29,-77.81
30,-75.51
31,-72.61000000000001
32,-79.4
33,-74.85
34,-84.78
35,-75.79
36,-76.01000000000002
37,-75.85000000000001
38,-62.16
39,-79.56
40,-64.78999999999995
41,-63.23000000000001
42,-82.39
43,-69.16
44,-69.57000000000002
45,-61.500000000000014
46,-87.31
47,-76.72
48,-72.56000000000003
49,-23.25999999999999
50,-68.02000000000002
51,-83.4
52,-53.20999999999999
53,-54.12000000000001
54,-80.31
55,-73.97
56,-82.75999999999999
57,-62.28000000000001
58,-66.65000000000002
59,-68.12000000000003
60,-69.92000000000003
61,-6.009999999999877
62,-78.68000000000004
63,-11.429999999999893
64,-58.29999999999999
65,-77.33000000000001
66,-71.83000000000001
67,-77.33
68,-65.46000000000001
69,-33.890000000000015
70,-71.84000000000002
71,-40.840000000000046
72,-72.98000000000002
73,-2.5899999999999466
74,-71.70000000000002
75,-64.75000000000001
76,-67.04000000000002
77,-27.91000000000001
78,-65.66000000000003
79,-50.65000000000004
80,-79.37
81,9.000000000000114
82,-30.219999999999985
83,-53.41000000000002
84,-57.29999999999999
85,-60.07000000000003
86,-61.93000000000001
87,-37.040000000000056
88,-61.260000000000005
89,-28.379999999999995
90,-87.83
91,126.26000000000016
92,-71.50000000000003
93,10.420000000000172
94,-55.50999999999999
95,190.82999999999998
96,-57.239999999999995
97,207.3499999999997
98,-73.37000000000002
99,-3.159999999999883
100,-70.47000000000001
101,1.4899999999999949
102,-27.65000000000002
103,207.36999999999983
104,-78.34000000000002
105,-63.03000000000004
106,-79.55000000000001
107,25.909999999999997
